Training...
[10 | 18.22] loss=2.27 avg=2.27
[20 | 27.04] loss=2.24 avg=2.26
[30 | 35.88] loss=1.95 avg=2.15
[40 | 44.70] loss=2.14 avg=2.15
[50 | 53.51] loss=2.12 avg=2.14
[60 | 62.35] loss=2.01 avg=2.12
[70 | 71.16] loss=2.18 avg=2.13
[80 | 79.98] loss=1.98 avg=2.11
[90 | 88.80] loss=2.15 avg=2.11
[100 | 97.64] loss=2.13 avg=2.12
Saving checkpoint/run1/model-100
[110 | 112.79] loss=2.23 avg=2.13
[120 | 121.60] loss=1.90 avg=2.11
[130 | 130.44] loss=2.24 avg=2.12
[140 | 139.27] loss=1.99 avg=2.11
[150 | 148.09] loss=2.00 avg=2.10
[160 | 156.94] loss=2.23 avg=2.11
[170 | 165.78] loss=1.85 avg=2.09
[180 | 174.61] loss=2.27 avg=2.10
[190 | 183.45] loss=1.81 avg=2.09
[200 | 192.29] loss=2.09 avg=2.09
Saving checkpoint/run1/model-200
WARNING:tensorflow:From /usr/local/lib/python3.6/dist-packages/tensorflow_core/python/training/saver.py:963: remove_checkpoint (from tensorflow.python.training.checkpoint_management) is deprecated and will be removed in a future version.
Instructions for updating:
Use standard file APIs to delete files with this prefix.
[210 | 207.98] loss=2.20 avg=2.09
[220 | 216.82] loss=1.88 avg=2.08
[230 | 225.65] loss=2.05 avg=2.08
[240 | 234.47] loss=2.03 avg=2.08
[250 | 243.30] loss=2.28 avg=2.09
[260 | 252.13] loss=1.90 avg=2.08
[270 | 260.94] loss=2.23 avg=2.08
[280 | 269.77] loss=2.57 avg=2.10
[290 | 278.58] loss=2.38 avg=2.12
[300 | 287.41] loss=1.78 avg=2.10
Saving checkpoint/run1/model-300
[310 | 302.21] loss=2.00 avg=2.10
[320 | 311.06] loss=2.03 avg=2.10
[330 | 319.89] loss=2.16 avg=2.10
[340 | 328.71] loss=1.87 avg=2.09
[350 | 337.53] loss=1.82 avg=2.08
[360 | 346.36] loss=2.04 avg=2.08
[370 | 355.18] loss=2.04 avg=2.08
[380 | 364.01] loss=1.82 avg=2.07
[390 | 372.85] loss=1.73 avg=2.06
[400 | 381.67] loss=2.08 avg=2.06
Saving checkpoint/run1/model-400
[410 | 396.58] loss=2.00 avg=2.06
[420 | 405.42] loss=1.83 avg=2.05
[430 | 414.25] loss=1.99 avg=2.05
[440 | 423.07] loss=2.27 avg=2.06
[450 | 431.90] loss=1.77 avg=2.05
[460 | 440.73] loss=1.77 avg=2.04
[470 | 449.55] loss=1.75 avg=2.03
[480 | 458.41] loss=1.94 avg=2.03
[490 | 467.23] loss=1.98 avg=2.03
[500 | 476.05] loss=2.05 avg=2.03
Saving checkpoint/run1/model-500
Training...
Saving checkpoint/run1/model-500
[510 | 18.54] loss=2.01 avg=2.01
[520 | 27.37] loss=2.07 avg=2.04
[530 | 36.21] loss=2.22 avg=2.10
[540 | 45.04] loss=2.10 avg=2.10
[550 | 53.88] loss=1.77 avg=2.03
[560 | 62.72] loss=1.94 avg=2.02
[570 | 71.54] loss=1.88 avg=2.00
[580 | 80.37] loss=2.03 avg=2.00
[590 | 89.20] loss=2.22 avg=2.03
[600 | 98.03] loss=1.92 avg=2.02
[610 | 106.87] loss=2.02 avg=2.02
[620 | 115.71] loss=1.77 avg=1.99
[630 | 124.54] loss=2.11 avg=2.00
[640 | 133.37] loss=1.91 avg=2.00
[650 | 142.19] loss=2.01 avg=2.00
[660 | 151.02] loss=1.88 avg=1.99
[670 | 159.85] loss=1.96 avg=1.99
[680 | 168.67] loss=2.19 avg=2.00
[690 | 177.49] loss=2.28 avg=2.02
[700 | 186.31] loss=1.88 avg=2.01
[710 | 195.13] loss=2.28 avg=2.02
[720 | 203.96] loss=1.99 avg=2.02
[730 | 212.78] loss=2.08 avg=2.02
[740 | 221.63] loss=1.79 avg=2.01
[750 | 230.46] loss=2.38 avg=2.03
[760 | 239.28] loss=1.82 avg=2.02
[770 | 248.12] loss=2.19 avg=2.03
[780 | 256.94] loss=1.95 avg=2.02
[790 | 265.77] loss=2.04 avg=2.03
[800 | 274.59] loss=2.13 avg=2.03
[810 | 283.42] loss=1.82 avg=2.02
[820 | 292.27] loss=2.15 avg=2.03
[830 | 301.13] loss=2.32 avg=2.04
[840 | 309.98] loss=2.28 avg=2.05
[850 | 318.81] loss=2.42 avg=2.06
[860 | 327.65] loss=2.35 avg=2.07
[870 | 336.47] loss=1.82 avg=2.06
[880 | 345.30] loss=2.43 avg=2.07
[890 | 354.13] loss=1.76 avg=2.06
[900 | 362.95] loss=1.92 avg=2.06
[910 | 371.78] loss=2.10 avg=2.06
[920 | 380.60] loss=1.88 avg=2.05
[930 | 389.42] loss=1.85 avg=2.05
[940 | 398.26] loss=2.00 avg=2.05
[950 | 407.10] loss=1.98 avg=2.04
[960 | 415.95] loss=1.75 avg=2.04
[970 | 424.78] loss=1.52 avg=2.02
[980 | 433.61] loss=1.81 avg=2.02
[990 | 442.44] loss=2.07 avg=2.02
[1000 | 451.26] loss=1.70 avg=2.01
Saving checkpoint/run1/model-1000
Training...
Saving checkpoint/run1/model-1000
[1010 | 16.90] loss=2.14 avg=2.14
[1020 | 25.74] loss=1.79 avg=1.97
[1030 | 34.56] loss=2.27 avg=2.07
[1040 | 43.40] loss=2.67 avg=2.22
[1050 | 52.23] loss=1.82 avg=2.14
[1060 | 61.06] loss=2.14 avg=2.14
[1070 | 69.90] loss=1.84 avg=2.10
[1080 | 78.73] loss=2.13 avg=2.10
[1090 | 87.56] loss=2.03 avg=2.09
[1100 | 96.39] loss=1.94 avg=2.08
[1110 | 105.21] loss=1.69 avg=2.04
[1120 | 114.04] loss=1.90 avg=2.03
[1130 | 122.88] loss=1.65 avg=2.00
[1140 | 131.71] loss=1.78 avg=1.98
[1150 | 140.55] loss=2.03 avg=1.98
[1160 | 149.39] loss=2.02 avg=1.99
[1170 | 158.21] loss=2.41 avg=2.01
[1180 | 167.04] loss=1.96 avg=2.01
[1190 | 175.87] loss=1.97 avg=2.01
[1200 | 184.70] loss=1.54 avg=1.98
[1210 | 193.55] loss=1.84 avg=1.97
[1220 | 202.38] loss=1.71 avg=1.96
[1230 | 211.23] loss=1.66 avg=1.95
[1240 | 220.07] loss=2.02 avg=1.95
[1250 | 228.90] loss=1.89 avg=1.95
